Arabic,Indonesian
،,","
لا,TIDAK
من,dari
في,di dalam
أن,itu
هذا,ini
على,pada
ما,Apa
أنا,SAYA
هل,Melakukan
و,Dan
يا,Hai
ذلك,itu
لقد,Saya punya
لم,tidak
ماذا,Apa
كان,Dia adalah
هنا,Di Sini
إلى,ke
أنت,Anda
هو,Dia
هذه,Ini luar biasa
عن,pada
نعم,Ya
ان,itu
هناك,di sana
كل,semua
حسناً,Bagus
ليس,bukan
كنت,saya dulu
فقط,hanya
شيء,sesuatu
الآن,Sekarang
مع,dengan
الذي,itu
لكن,Tetapi
أجل,Oke
لك,untukmu
يجب,Dia harus
لن,tidak akan
كيف,Bagaimana
حسنا,Bagus
انا,SAYA
لي,untukku
إنه,itu
سوف,akan
نحن,Kami
إذا,jika
كانت,Dia dulu
عندما,Kapan
أي,setiap
قد,mungkin
لماذا,Mengapa
هي,dia
الأمر,Perintah
أنه,itu
فى,di dalam
حتى,sampai
بعد,setelah
كذلك,seperti itu
أو,atau
ولكن,Tetapi
قبل,sebelum
التي,itu
انه,itu
إنها,itu
ـ,-
لو,jika
ربما,Mungkin
أين,Di mana
هيا,Ayo pergi
تلك,itu
أعرف,Aku tahu
الى,ke
إن,itu
يكون,Dia adalah
بعض,beberapa
أريد,Saya ingin
أعتقد,saya percaya
انت,Anda
عليك,padamu
مثل,menyukai
صحيح,benar
به,Dengan itu
أنك,Itu kamu
الوقت,waktu
بخير,Bagus
أعلم,Tahu
أحد,Minggu
شخص,orang
جداً,sangat
رجل,pria
شكراً,Terima kasih
لذا,Jadi
يمكن,Mungkin
كما,sebagai
كلا,keduanya
أكثر,lagi
يبدو,Rasanya
جيد,Bagus
